时间,温度(℃),湿度(%),光照(lx),状态
2026-07-24 09:00:00,25.3,55.2,402.1,正常
2026-07-24 09:00:01,25.6,55.8,410.5,正常
2026-07-24 09:00:02,26.1,56.3,425.0,正常
2026-07-24 09:00:03,26.8,57.1,448.9,正常
2026-07-24 09:00:04,27.9,58.0,470.2,正常
2026-07-24 09:00:05,29.4,58.6,512.7,正常
2026-07-24 09:00:06,31.2,59.5,566.3,正常
2026-07-24 09:00:07,33.5,60.2,631.8,正常
2026-07-24 09:00:08,35.4,61.0,702.4,报警
2026-07-24 09:00:09,36.1,61.8,779.6,报警
2026-07-24 09:00:10,35.8,62.5,812.3,报警
2026-07-24 09:00:11,34.6,63.1,795.0,正常
2026-07-24 09:00:12,33.2,63.8,741.2,正常
2026-07-24 09:00:13,31.9,64.2,688.5,正常
2026-07-24 09:00:14,30.5,64.9,640.7,正常
2026-07-24 09:00:15,29.3,65.3,601.9,正常
