序号,时间,温度(℃),空气湿度(%RH),光照(lx),土壤湿度(%)
1,09:00:00,24.5,55.2,512.0,61.3
2,09:00:01,24.6,55.0,530.4,61.1
3,09:00:02,24.8,54.7,548.9,60.8
4,09:00:03,25.1,54.5,566.2,60.4
5,09:00:04,25.3,54.1,580.7,59.9
6,09:00:05,25.6,53.8,596.3,59.3
7,09:00:06,25.9,53.6,611.8,58.6
8,09:00:07,26.1,53.2,625.0,57.8
9,09:00:08,26.4,52.9,640.5,56.9
10,09:00:09,26.6,52.5,652.1,55.9
11,09:00:10,26.9,52.2,663.8,54.8
12,09:00:11,27.1,51.8,677.4,53.6
13,09:00:12,27.4,51.5,688.0,52.3
14,09:00:13,27.6,51.1,699.2,50.9
15,09:00:14,27.9,50.8,710.6,49.4
16,09:00:15,28.1,50.4,718.3,47.8
17,09:00:16,28.3,50.1,727.9,46.1
18,09:00:17,28.6,49.7,735.2,44.3
19,09:00:18,28.8,49.4,742.8,42.4
20,09:00:19,29.0,49.0,750.1,40.4
