时间,类别,内容
10:02:01,sys,中转站已启动，监听 127.0.0.1:18830
10:02:05,conn,新连接接入（编号1）
10:02:05,conn,编号1 报到，名称：手机端
10:02:05,sub,手机端 订阅了 farm/+/temp
10:02:11,conn,新连接接入（编号2）
10:02:11,conn,编号2 报到，名称：水泵控制器
10:02:11,sub,水泵控制器 订阅了 farm/control/pump
10:02:20,conn,新连接接入（编号3）
10:02:20,conn,编号3 报到，名称：发布者
10:02:20,pub,发布者 发布 [farm/sensor/temp]「温度 25.3℃」→ 匹配 1 个订阅者
10:02:20,fwd,  ↳ 转发给 手机端
10:02:20,recv,手机端 收到 [farm/sensor/temp]「温度 25.3℃」
10:02:22,pub,发布者 发布 [farm/sensor/humi]「土壤湿度 42%」→ 匹配 0 个订阅者
10:02:22,fwd,  ↳ 无人订阅该主题，消息未转发
10:02:30,pub,发布者 发布 [farm/control/pump]「指令：开泵浇水 30 秒」→ 匹配 1 个订阅者
10:02:30,fwd,  ↳ 转发给 水泵控制器
10:02:30,recv,水泵控制器 收到 [farm/control/pump]「指令：开泵浇水 30 秒」
10:02:45,sys,中转站已停止，所有连接已关闭。
