时间,温度,空气湿度,光照,土壤湿度,水泵,风扇,补光灯,蜂鸣器
2026-07-24 08:00:00,22.5,65.0,420,58.0,关,关,关,关
2026-07-24 08:05:00,23.1,64.2,480,56.5,关,关,关,关
2026-07-24 08:10:00,24.0,63.0,520,54.0,关,关,关,关
2026-07-24 08:15:00,25.2,61.5,610,50.2,关,关,关,关
2026-07-24 08:20:00,26.8,60.0,700,46.0,关,关,关,关
2026-07-24 08:25:00,28.5,58.4,820,42.3,关,关,关,关
2026-07-24 08:30:00,30.1,56.0,900,38.6,开,关,关,关
2026-07-24 08:35:00,31.6,54.2,980,44.8,关,关,关,关
2026-07-24 08:40:00,33.0,52.0,1050,48.9,关,开,关,关
2026-07-24 08:45:00,34.2,50.5,1120,52.1,关,开,关,关
2026-07-24 08:50:00,32.8,52.8,1010,55.6,关,开,关,关
2026-07-24 08:55:00,31.2,55.0,920,57.2,关,关,关,关
2026-07-24 19:00:00,26.4,62.0,260,54.0,关,关,开,关
2026-07-24 19:05:00,25.8,63.5,180,52.8,关,关,开,关
2026-07-24 19:10:00,25.1,64.8,120,51.5,关,关,开,关
2026-07-24 19:15:00,-100.0,65.0,100,50.9,关,关,开,开
2026-07-24 19:20:00,24.6,65.4,90,50.2,关,关,开,关
