时间,气温(℃),湿度(%),光照(lx),风力(级)
10-03 00:00,8.4,91,0,4
10-03 01:00,7.6,98,0,3
10-03 02:00,7.3,96,0,1
10-03 03:00,7.6,94,0,3
10-03 04:00,8.1,92,0,4
10-03 05:00,9.9,90,0,3
10-03 06:00,11.0,90,35498,2
10-03 07:00,12.6,82,41834,2
10-03 08:00,13.4,81,47811,2
10-03 09:00,15.6,79,54033,3
10-03 10:00,16.5,78,53303,2
10-03 11:00,18.6,70,60304,3
10-03 12:00,18.8,65,60499,2
10-03 13:00,20.4,68,62198,3
10-03 14:00,19.7,68,58720,2
10-03 15:00,19.6,68,59345,4
10-03 16:00,19.4,68,53857,4
10-03 17:00,17.9,71,51274,4
10-03 18:00,17.2,70,47603,1
10-03 19:00,15.2,74,42794,2
10-03 20:00,13.4,85,0,3
10-03 21:00,12.8,82,0,4
10-03 22:00,10.9,91,0,4
10-03 23:00,9.6,89,0,2
10-04 00:00,9.8,91,0,3
10-04 01:00,8.6,92,0,2
10-04 02:00,8.5,92,0,1
10-04 03:00,9.2,91,0,2
10-04 04:00,9.8,91,0,1
10-04 05:00,10.6,91,0,3
10-04 06:00,12.3,90,40624,1
10-04 07:00,14.3,78,46210,2
10-04 08:00,16.4,75,47418,2
10-04 09:00,18.0,76,54910,2
10-04 10:00,20.5,68,55876,1
10-04 11:00,21.9,61,58968,3
10-04 12:00,22.3,61,57501,3
10-04 13:00,23.9,59,59931,1
10-04 14:00,24.2,60,61521,2
10-04 15:00,23.1,58,58538,1
10-04 16:00,22.2,62,53245,3
10-04 17:00,21.8,60,52506,3
10-04 18:00,19.5,69,49297,2
10-04 19:00,18.6,73,45040,4
10-04 20:00,15.9,81,0,4
10-04 21:00,14.0,85,0,3
10-04 22:00,11.8,85,0,2
10-04 23:00,10.1,91,0,3
