日期,时间,气温(℃),湿度(%),天气
10-01,08:00,18.5,62,晴
10-01,14:00,25度,55,晴
10-01,20:00,16.0,70,多云
10-02,08:00,,68,阴
10-02,14:00,88,40,晴
10-02,20:00,15.8,72,多云
10-03,08:00,17.2,65,晴
10-03,08:00,17.2,65,晴
10-03,14:00,26.5℃,52,晴
10-03,20:00,16.4,,多云
10-04,08:00,12.1,80,小雨
10-04,14:00,19.0,75,小雨
10-04,20:00,-35,82,小雨
10-05,08:00,14.6,76,阴
10-05,14:00,21.3,66,多云
10-05,20:00,15.0,71,多云
10-06,08:00,13.9,78,阴
10-06,14:00,20.8,999,阴
10-06,20:00,14.7,74,阴
10-04,14:00,19.0,75,小雨
10-07,08:00,15.5度,69,晴
